
A ,13,9/29/20,Flanders Ronde Race,3.7w/kg,272w,308w,4.5w/kg,5.0w/kg,6.1w/kg,7.3w/kg,7.4w/kg,74.0kg,,,46km,,446.93,, 
A ,17,9/24/20,Team Italy Superveloce Race,3.9w/kg,290w,302w,4.0w/kg,4.4w/kg,5.1w/kg,6.2w/kg,7.3w/kg,74.0kg,165bpm,173bpm,16km,,524.64,, 
A ,6,9/23/20,BRT Time Trial League,3.9w/kg,290w,314w,4.6w/kg,4.8w/kg,5.5w/kg,5.7w/kg,5.9w/kg,74.0kg,164bpm,176bpm,24km,,292.53,39.72 , 
A ,,9/17/20,British Cycling Time Trial Series,4.1w/kg,301w,311w,4.1w/kg,4.4w/kg,5.0w/kg,5.4w/kg,6.1w/kg,74.0kg,,,16km,,491.15,21.77 , 
E ,7,9/15/20,Zwift Time Trial Tuesday: Bologna,4.4w/kg,324w,334w,,5.0w/kg,5.2w/kg,5.7w/kg,5.9w/kg,74.0kg,,,8km,,273.79,65.24 , 
B ,13,9/10/20,GTN Race Series: Triathlete vs Cyclist,3.9w/kg,289w,310w,4.0w/kg,4.7w/kg,6.7w/kg,8.4w/kg,9.9w/kg,75.0kg,168bpm,181bpm,30km,,,, 
A ,9,7/29/20,3R Tick Tock Flat Race - 2 Lap (36km/22.4mi 100m),3.7w/kg,270w,307w,3.7w/kg,4.2w/kg,7.3w/kg,9.9w/kg,11.3w/kg,74.0kg,167bpm,187bpm,36km,,300.10,22.38 , 
A ,,7/24/20,3R Lutscher CCW Climbing Race - 1 Lap (22.1km/13.9mi 827m),4.1w/kg,304w,323w,4.5w/kg,4.9w/kg,5.6w/kg,5.8w/kg,6.3w/kg,74.0kg,169bpm,182bpm,23km,,,, 
A ,12,7/21/20,British Cycling Race Series,3.9w/kg,289w,304w,3.9w/kg,4.5w/kg,5.9w/kg,6.5w/kg,8.6w/kg,74.0kg,176bpm,188bpm,17km,,425.98,, 
A ,,7/6/20,3R Sand & Sequoias - 1 Lap (20km/12.5mi 173m),4.0w/kg,298w,324w,4.1w/kg,4.6w/kg,6.9w/kg,9.1w/kg,11.0w/kg,74.0kg,169bpm,185bpm,23km,,194.92,37.59 , 
B ,,6/15/20,ZHR Zwift Handicap Race Britain,4.1w/kg,300w,306w,4.3w/kg,4.6w/kg,5.0w/kg,5.1w/kg,5.5w/kg,74.0kg,169bpm,178bpm,31km,,335.48,9.48 , 
A ,77,6/10/20,Zwift NL League - Woensdagavond Competitie,3.9w/kg,287w,309w,4.5w/kg,5.0w/kg,6.2w/kg,7.1w/kg,7.5w/kg,73.0kg,166bpm,182bpm,48km,,382.92,5.82 , 
A ,32,6/8/20,Team IRL Without Borders Race,4.2w/kg,304w,327w,4.1w/kg,4.8w/kg,5.8w/kg,7.0w/kg,9.2w/kg,73.0kg,171bpm,183bpm,24km,,352.31,15.61 , 
A ,109,5/27/20,Zwift NL League - Woensdagavond Competitie,4.1w/kg,302w,321w,4.8w/kg,5.2w/kg,6.1w/kg,7.2w/kg,8.7w/kg,73.0kg,172bpm,182bpm,41km,,499.59,, 
A ,117,5/13/20,Zwift NL League - Woensdagavond Competitie,4.3w/kg,314w,331w,4.5w/kg,5.1w/kg,6.2w/kg,7.7w/kg,9.5w/kg,73.0kg,,,41km,,412.00,11.55 , 
A ,11,5/3/20,ZHR Masters Weekender,3.7w/kg,267w,283w,4.1w/kg,4.8w/kg,6.0w/kg,6.3w/kg,6.5w/kg,73.0kg,161bpm,179bpm,75km,,475.96,, 
E ,50,4/23/20,WTRL Team Time Trial - Zone3,4.0w/kg,288w,292w,4.1w/kg,4.4w/kg,4.7w/kg,5.1w/kg,5.6w/kg,73.0kg,165bpm,174bpm,34km,,,, 
A ,92,4/21/20,3R Spring Loaded Race Series - Round 4of6,4.0w/kg,295w,318w,4.2w/kg,5.1w/kg,7.0w/kg,9.1w/kg,12.0w/kg,73.0kg,169bpm,186bpm,37km,,328.78,28.19 , 
A ,18,4/17/20,Trofeo Bologna Race,4.7w/kg,344w,348w,,5.0w/kg,5.6w/kg,5.9w/kg,6.0w/kg,73.0kg,173bpm,182bpm,8km,,379.91,44.02 , 
F ,19,4/9/20,WTRL Team Time Trial - Zone3 NEW,4.0w/kg,294w,308w,4.5w/kg,4.8w/kg,6.2w/kg,6.5w/kg,6.6w/kg,73.0kg,175bpm,186bpm,43km,,,, 
F ,56,4/2/20,WTRL Team Time Trial - Zone2,4.3w/kg,310w,314w,4.4w/kg,4.6w/kg,5.4w/kg,5.5w/kg,5.7w/kg,73.0kg,175bpm,184bpm,36km,,,, 
F ,44,3/26/20,WTRL Team Time Trial - Zone2,3.8w/kg,276w,283w,4.0w/kg,4.4w/kg,5.1w/kg,5.5w/kg,5.6w/kg,73.0kg,178bpm,187bpm,36km,,,, 
A ,139,3/22/20,Stage 4 Group Ride - Tour of Watopia 2020,3.0w/kg,221w,246w,3.2w/kg,3.7w/kg,8.2w/kg,9.8w/kg,10.7w/kg,73.0kg,140bpm,180bpm,45km,,,, 
A ,78,3/20/20,Stage 3 Group Ride - Tour of Watopia 2020,2.8w/kg,207w,233w,3.1w/kg,3.7w/kg,6.5w/kg,9.6w/kg,14.7w/kg,73.0kg,83bpm,144bpm,17km,,,, 
B ,,3/19/20,Crit City Race,4.0w/kg,295w,305w,4.0w/kg,4.4w/kg,5.9w/kg,7.3w/kg,8.8w/kg,73.0kg,170bpm,185bpm,16km,,343.15,34.75 , 
